SCCS_ID,SCCS_Name,Time.focus,Longitude,Latitude,Plant.start,Plant.start.date,Plant.end,Plant.end.date
37,Amhara,1953,37.45000076,12.60000038,152,1-Jun,232,20-Aug
37,Amhara,1953,37.45000076,12.60000038,152,1-Jun,212,31-Jul
37,Amhara,1953,37.45000076,12.60000038,244,1-Sep,304,31-Oct
39,Kenuzi Nubians,1900,38.75,23,,,,
40,Teda,1950,17.81999969,22.5,121,1-May,212,31-Jul
40,Teda,1950,17.81999969,22.5,283,10-Oct,324,20-Nov
42,Riffians,1926,-3.25,35,,,,
43,Egyptians,1950,32.93000031,24.73999977,102,12-Apr,173,22-Jun
43,Egyptians,1950,32.93000031,24.73999977,315,11-Nov,354,20-Dec
44,Hebrews,-621,34.97999954,31.53000069,,,,
45,Babylonians,-1750,44.43000031,32.54000092,,,,
46,Rwala Bedouin,1913,36.29000092,32.47000122,71,12-Mar,173,22-Jun
46,Rwala Bedouin,1913,36.29000092,32.47000122,315,11-Nov,20,20-Jan
47,Turks,1950,34,39.20000076,253,10-Sep,293,20-Oct
47,Turks,1950,34,39.20000076,60,1-Mar,120,30-Apr
47,Turks,1950,34,39.20000076,254,11-Sep,334,30-Nov
51,Irish,1955,-9,53,,,,
51,Irish,1955,-9,53,276,3-Oct,332,28-Nov
52,Lapps,1950,21.5,68.66000366,,,,
53,Yurak Samoyed,1894,70.36000061,69.62999725,,,,
54,Russians,1955,41.33333,52.66667,233,21-Aug,243,31-Aug
54,Russians,1955,41.33333,52.66667,,,,
54,Russians,1955,41.33333,52.66667,,,,
55,Abkhaz,1880,41,43,,,,
55,Abkhaz,1880,41,43,91,1-Apr,181,30-Jun
57,Kurd,1951,44.52999878,36.61000061,314,10-Nov,354,20-Dec
58,Basseri,1958,53.24000168,28.81999969,101,11-Apr,112,22-Apr
58,Basseri,1958,53.24000168,28.81999969,244,1-Sep,314,10-Nov
59,Punjabi (West),1950,74,32.5,323,19-Nov,364,30-Dec
60,Gond,1930,80.97000122,19.27000046,,,,
60,Gond,1930,80.97000122,19.27000046,267,24-Sep,315,11-Nov
60,Gond,1930,80.97000122,19.27000046,169,18-Jun,210,29-Jul
60,Gond,1930,80.97000122,19.27000046,,,,
62,Santal,1940,87.52999878,23.75,162,11-Jun,203,22-Jul
63,Uttar Pradesh,1945,82.97000122,25.65999985,161,10-Jun,223,11-Aug
64,Burusho,1934,74.66000366,36.33000183,162,11-Jun,233,21-Aug
65,Kazak,1885,57.97000122,45.81000137,,,,
66,Khalka Mongols,1920,96.02999878,47,,,,
68,Lepcha,1937,88.5,27.53000069,176,25-Jun,210,29-Jul
68,Lepcha,1937,88.5,27.53000069,302,29-Oct,343,9-Dec
70,Lakher,1930,93,22.33333,151,31-May,222,10-Aug
70,Lakher,1930,93,22.33333,311,7-Nov,30,30-Jan
71,Burmese,1960,95.41000366,21.52000046,121,1-May,185,4-Jul
71,Burmese,1960,95.41000366,21.52000046,301,28-Oct,365,31-Dec
72,Lamet,1940,100.66667,20,137,17-May,197,16-Jul
72,Lamet,1940,100.66667,20,319,15-Nov,31,31-Jan
73,Vietnamese,1930,106.1699982,20.40999985,159,8-Jun,222,10-Aug
73,Vietnamese,1930,106.1699982,20.40999985,314,10-Nov,100,10-Apr
76,Siamese,1955,100.7099991,13.85000038,128,8-May,243,31-Aug
76,Siamese,1955,100.7099991,13.85000038,6,6-Jan,69,10-Mar
83,Javanese,1955,112.2200012,-7.71999979,307,3-Nov,362,28-Dec
83,Javanese,1955,112.2200012,-7.71999979,173,22-Jun,236,24-Aug
83,Javanese,1955,112.2200012,-7.71999979,274,1-Oct,334,30-Nov
83,Javanese,1955,112.2200012,-7.71999979,121,1-May,181,30-Jun
83,Javanese,1955,112.2200012,-7.71999979,,,,
83,Javanese,1955,112.2200012,-7.71999979,,,,
84,Balinese,1958,115.3799973,-8.520000458,274,1-Oct,334,30-Nov
84,Balinese,1958,115.3799973,-8.520000458,121,1-May,181,30-Jun
85,Iban,1950,113,2,223,11-Aug,263,20-Sep
86,Badjau,1963,120,5,,,,
90,Tiwi,1929,130.4199982,-11.39999962,,,,
91,Aranda,1896,133.7599945,-23.54000092,,,,
92,Orokaiva,1925,148.3899994,-8.680000305,,,,
93,Kimam,1960,138.6000061,-7.630000114,,,,
94,Kapauku,1955,136.0700073,-4.059999943,,,,
96,Manus,1929,147.1799927,-2.200000048,,,,
98,Trobrianders,1914,151.1199951,-8.56000042,,,,
99,Siuai,1939,155.6300049,-6.570000172,,,,
100,Tikopia,1930,168.8200073,-12.30000019,,,,
102,Mbau Fijians,1840,178.5833,-18,,,,
104,Maori,1820,173.5700073,-35.43000031,,,,
106,Western Samoans,1829,-171.9600067,-13.88000011,,,,
108,Marshallese,1900,169.5500031,6.019999981,,,,
109,Trukese,1947,151.6699982,7.409999847,,,,
110,Yapese,1910,138.0899963,9.510000229,,,,
110,Yapese,1910,138.0899963,9.510000229,,,,
112,Ifugao,1910,121.1500015,16.79999924,,,,
116,Koreans,1947,126.4899979,37.63000107,101,11-Apr,131,11-May
117,Japanese,1950,133.9299927,34.50999832,305,1-Nov,334,30-Nov
117,Japanese,1950,133.9299927,34.50999832,,,,
117,Japanese,1950,133.9299927,34.50999832,132,12-May,202,21-Jul
118,Ainu,1880,142.0899963,42.52999878,,,,
119,Gilyak,1980,141.8999939,53.08000183,,,,
121,Chukchee,1900,-179.9199982,66.94000244,,,,
124,Copper Eskimo,1915,-114.8199997,68.77999878,,,,
130,Eyak,1890,-145.7599945,60.52999878,,,,
131,Haida,1875,-132.5,54,,,,
132,Bellacoola,1880,-126.5999985,52.40000153,,,,
138,Klamath,1860,-121.0400009,42.02999878,,,,
141,Hidatsa,1836,-101.3799973,47.34999847,,,,
142,Pawnee,1867,-99.98999786,41.97999954,242,30-Aug,279,6-Oct
142,Pawnee,1867,-99.98999786,41.97999954,146,26-May,174,23-Jun
142,Pawnee,1867,-99.98999786,41.97999954,111,21-Apr,152,1-Jun
144,Huron,1634,-79.84999847,44.54999924,118,28-Apr,184,3-Jul
150,Havasupai,1918,-112.6900024,36.24000168,,,,
150,Havasupai,1918,-112.6900024,36.24000168,130,10-May,152,1-Jun
150,Havasupai,1918,-112.6900024,36.24000168,74,15-Mar,152,1-Jun
151,Papago,1910,-112.9000015,31.78000069,74,15-Mar,152,1-Jun
154,Popoluca,1940,-94.87000275,18.21999931,118,28-Apr,180,29-Jun
154,Popoluca,1940,-94.87000275,18.21999931,121,1-May,151,31-May
156,Miskito,1921,-83.30999756,14.17000008,,,,
159,Goajiro,1947,-71.75,12,,,,
160,Haitians,1935,-72.11000061,18.82999992,60,1-Mar,120,30-Apr
160,Haitians,1935,-72.11000061,18.82999992,32,1-Feb,90,31-Mar
160,Haitians,1935,-72.11000061,18.82999992,,,,
162,Warrau,1935,-61.18000031,9.140000343,,,,
164,Carib (Barama),1932,-59.72999954,7.380000114,,,,
165,Saramacca,1928,-55.22000122,4.349999905,71,12-Mar,233,21-Aug
165,Saramacca,1928,-55.22000122,4.349999905,,,,
168,Cayapa,1908,-79.01999664,1.059999943,,,,
172,Aymara,1940,-70.01000214,-15.96000004,223,11-Aug,325,21-Nov
173,Siriono,1942,-63.04000092,-13.02999973,335,1-Dec,365,31-Dec
173,Siriono,1942,-63.04000092,-13.02999973,,,,
173,Siriono,1942,-63.04000092,-13.02999973,254,11-Sep,325,21-Nov
179,Shavante,1958,-51.59000015,-12.30000019,,,,
182,Lengua,1889,-58.5,-23.5,,,,
184,Mapuche,1950,-72.58999634,-38.70000076,101,11-Apr,232,20-Aug
185,Tehuelche,1870,-65.44999695,-39.95999908,,,,
186,Yahgan,1865,-71.16000366,-53.34000015,,,,
185s,Tehuelche(S),1870,-68,-45,,,,
25s,Pastoral Fulani(S),1951,7,15,,,,
46s,Rwala Bedouin(S),1913,28.5,31.75,305,1-Nov,334,30-Nov
46s,Rwala Bedouin(S),1913,28.5,31.75,70,11-Mar,102,12-Apr
53s,Yurak Samoyed(S),1894,52,68,,,,
65s,Kazak(S),1885,70,42,,,,
